rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150102;101957;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00048;00048;0000002900
 ;20150218;172234;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00100;00100;0000002870
 ;20150401;165930;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00140;00140;0000002870
 ;20150402;165818;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000002870
 ;20150513;173053;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00060;00060;0000002870
 ;20150723;122008;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000002870
 ;20151019;180115;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000002958
 ;20151022;180942;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000002958
 ;20151026;113812;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002730
 ;20160105;110518;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00006;00006;0000002958
 ;20160109;110650;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00006;00006;0000002958
 ;20160114;152211;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002730
 ;20160302;164754;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00120;00120;0000002830
 ;20160520;114454;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00060;00060;0000002830
 ;20160715;163222;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00024;00024;0000002920
 ;20160914;102146;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002770
 ;20161223;180200;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003178
 ;20161228;175344;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003178
 ;20161229;180218;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003178
 ;20161230;180309;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00020;00020;0000003178
 ;20170102;171153;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002770
 ;20170224;105147;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00140;00140;0000002770
 ;20170615;190108;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00050;00050;0000002990
 ;20170920;105753;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00120;00120;0000002890
 ;20171110;114520;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00120;00120;0000002890
 ;20180208;120409;K            ;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00020;00020;0000002890
 ;20180216;170644;U            ;06;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00012;00012;0000003150
 ;20180228;120117;K            ;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00012;00012;0000002890
 ;20180308;153112;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003340
 ;20180308;153221;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003340
 ;20180308;160440;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00002;00002;0000003345
 ;20180308;172223;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00120;00120;0000002890
 ;20180426;163523;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00080;00080;0000002890
 ;20180831;103707;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002940
 ;20181127;092208;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00150;00150;0000002940
 ;20190206;172942;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00100;00100;0000003220
 ;20210731;105628;U            ;04;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00006;00006;0000003666
 ;20210806;110438;U            ;04;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00006;00006;0000003666
 ;20210813;160212;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003670
 ;20210813;161217;U            ;01;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00008;00008;0000003666
 ;20210818;183828;K            ;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003195
 ;20210826;120422;K            ;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00020;00020;0000003195
 ;20210914;110317;U            ;05;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003666
 ;20210923;185502;K            ;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00006;00006;0000003200
D;20170414;102307;0000000009177;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00036;00036;0000002990
D;20190617;174013;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00060;00060;0000003111
D;20190923;113147;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00200;00200;0000003111
D;20200207;103224;0000000009177;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00040;00040;0000003335
D;20200324;152021;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003340
D;20200324;152022;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00100;00100;0000003335
D;20200911;144643;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00060;00060;0000003145
D;20201028;153018;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00120;00120;0000003145
D;20210615;164250;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003200
D;20210615;164251;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00010;00010;0000003195
D;20210924;111035;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003200
D;20210924;111036;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003200
D;20210924;111037;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00070;00070;0000003195
D;20211130;105907;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00000;00000;0000003200
D;20211130;105908;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00060;00060;0000003195
D;20211230;104740;0000000009005;  ;O;004763114    ;ASPIRINA C*10CPR EFF 400+240MG                              ;00050;00050;0000003272
