rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150103;121352;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00006;00006;0000011348
 ;20150112;105043;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00000;00000;0000011348
 ;20150112;122229;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00003;00003;0000010830
 ;20150112;180301;U            ;05;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00010;00010;0000011349
 ;20150210;110529;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00000;00000;0000011349
 ;20150211;122228;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00003;00003;0000010830
 ;20150213;110153;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00000;00000;0000010830
 ;20150216;085052;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00106;00106;0000010283
 ;20150617;122032;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00005;00005;0000010830
 ;20150630;120918;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00004;00004;0000010830
 ;20150703;182807;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00010;00010;0000010830
 ;20150704;153751;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00085;00085;0000010070
 ;20151007;122549;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00010;00010;0000010830
 ;20151020;110138;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00010;00010;0000010830
 ;20151020;121952;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00006;00006;0000010830
 ;20151023;094129;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00077;00077;0000010005
 ;20151130;083659;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00024;00024;0000010700
 ;20160114;190206;N            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00006;00006;0000010910
 ;20160125;121809;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00003;00003;0000010830
 ;20160125;153005;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00040;00040;0000010529
 ;20160205;110546;U            ;01;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00050;00050;0000010272
 ;20160401;160842;K            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00050;00050;0000010529
 ;20160513;114611;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00006;00006;0000010830
 ;20160524;115211;S            ;  ;O;932707565    ;ACCU-CHEK AVIVA 25STR                                       ;00008;00008;0000010830
