vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp;vb.vb-dati-anagrafici-prodotto.vb-principio-attivo;vb.vb-dati-anagrafici-prodotto.vb-gmk;vb.vb-dati-anagrafici-prodotto.vb-bd-category
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010702;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010703;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010704;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010705;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010706;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010707;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010707;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010707;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010707;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010707;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010709;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010710;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0003;0000;000000;M0230                         ;A0420030101
20010711;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010712;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;0913;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1027;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1514;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1621;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1716;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1720;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1813;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1814;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1027;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1124;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1236;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
