vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20150112;0922;X   ;016366027    ;0002;0000
20150112;1741;T   ;016366027    ;0001;0000
20150113;0840;H   ;016366027    ;0002;0000
20150116;1641;X   ;016366027    ;0002;0000
20150127;0953;E   ;016366027    ;0002;0000
20150205;0858;X   ;016366027    ;0002;0000
20150210;1005;T   ;016366027    ;0001;0000
20150217;0929;H   ;016366027    ;0001;0000
20150224;1100;H   ;016366027    ;0002;0000
20150228;1017;X   ;016366027    ;0002;0000
20150228;1017;X   ;016366027    ;0002;0000
20150304;1142;H   ;016366027    ;0002;0000
20150317;0959;T   ;016366027    ;0001;0000
20150403;1059;H   ;016366027    ;0002;0000
20150409;1044;H   ;016366027    ;0002;0000
20150415;1116;X   ;016366027    ;0002;0000
20150416;1027;X   ;016366027    ;0002;0000
20150416;1125;X   ;016366027    ;0002;0000
20150421;1834;X   ;016366027    ;0006;0000
20150427;1058;T   ;016366027    ;0002;0000
20150428;1013;T   ;016366027    ;0002;0000
20150430;1022;H   ;016366027    ;0001;0000
20150430;1022;X   ;016366027    ;0002;0000
20150512;1038;H   ;016366027    ;0002;0000
20150515;1100;H   ;016366027    ;0002;0000
20150520;0837;T   ;016366027    ;0002;0000
20150526;1107;X   ;016366027    ;0002;0000
20150527;1036;E   ;016366027    ;0002;0000
20150527;1104;T   ;016366027    ;0002;0000
20150530;1107;E   ;016366027    ;0002;0000
20150601;1017;L   ;016366027    ;0001;0000
20150626;0918;H   ;016366027    ;0002;0000
20150627;0953;E   ;016366027    ;0002;0000
20150629;0928;T   ;016366027    ;0002;0000
20150703;0901;X   ;016366027    ;0006;0000
20150709;1008;H   ;016366027    ;0002;0000
20150709;1139;X   ;016366027    ;0002;0000
20150717;1110;X   ;016366027    ;0002;0000
20150722;0914;T   ;016366027    ;0002;0000
20150805;1836;E   ;016366027    ;0001;0000
20150807;0920;H   ;016366027    ;0002;0000
20150807;1017;E   ;016366027    ;0002;0000
20150813;0858;T   ;016366027    ;0002;0000
20150827;1059;T   ;016366027    ;0002;0000
20150903;1045;X   ;016366027    ;0002;0000
20150905;1143;E   ;016366027    ;0002;0000
20150909;0951;H   ;016366027    ;0002;0000
20150910;1015;E   ;016366027    ;0001;0000
20150914;1107;H   ;016366027    ;0002;0000
20150917;1014;E   ;016366027    ;0002;0000
20151002;1049;T   ;016366027    ;0002;0000
20151012;0858;T   ;016366027    ;0002;0000
20151019;1105;T   ;016366027    ;0002;0000
20151021;1040;X   ;016366027    ;0002;0000
20151021;1040;X   ;016366027    ;0001;0000
20151030;1022;E   ;016366027    ;0001;0000
20151103;1029;H   ;016366027    ;0002;0000
20151105;1150;X   ;016366027    ;0004;0000
20151110;0903;H   ;016366027    ;0002;0000
20151110;0914;T   ;016366027    ;0002;0000
20151112;1840;T   ;016366027    ;0002;0000
20151118;1757;L   ;016366027    ;0001;0000
20151120;1019;E   ;016366027    ;0002;0000
20151127;1032;X   ;016366027    ;0003;0000
20151127;1040;X   ;016366027    ;0004;0000
20151204;1026;T   ;016366027    ;0002;0000
20151204;1815;X   ;016366027    ;0006;0000
20151217;1030;T   ;016366027    ;0001;0000
20151218;1012;E   ;016366027    ;0002;0000
20151221;0904;T   ;016366027    ;0002;0000
20151228;1126;E   ;016366027    ;0001;0000
20151229;1038;X   ;016366027    ;0002;0000
20151229;1038;X   ;016366027    ;0002;0000
20160108;1036;T   ;016366027    ;0001;0000
20160109;1041;E   ;016366027    ;0002;0000
20160113;1033;T   ;016366027    ;0001;0000
20160115;0848;H   ;016366027    ;0002;0000
20160118;1633;X   ;016366027    ;0003;0000
20160128;1049;H   ;016366027    ;0001;0000
20160128;1212;H   ;016366027    ;0001;0000
20160128;1212;H   ;016366027    ;0002;0000
20160129;0856;Xs  ;016366027    ;0002;0001
20160129;1702;Xr  ;016366027    ;0001;0000
20160206;1120;H   ;016366027    ;0002;0000
20160209;0950;H   ;016366027    ;0002;0000
20160209;1229;L   ;016366027    ;0001;0000
20160217;1017;E   ;016366027    ;0002;0000
20160222;0856;T   ;016366027    ;0002;0000
20160223;0952;T   ;016366027    ;0002;0000
20160301;1032;E   ;016366027    ;0002;0000
20160301;1100;E   ;016366027    ;0001;0000
20160303;1032;X   ;016366027    ;0003;0000
20160304;1556;L   ;016366027    ;0001;0000
20160310;1036;X   ;016366027    ;0004;0000
20160317;1011;T   ;016366027    ;0002;0000
20160321;0924;X   ;016366027    ;0002;0000
20160321;0924;X   ;016366027    ;0002;0000
20160325;0905;H   ;016366027    ;0002;0000
20160401;1503;E   ;016366027    ;0002;0000
20160404;1833;X   ;016366027    ;0006;0000
20160420;1046;T   ;016366027    ;0002;0000
20160420;1159;E   ;016366027    ;0002;0000
20160503;0819;T   ;016366027    ;0002;0000
20160505;0939;E   ;016366027    ;0002;0000
20160505;1607;X   ;016366027    ;0006;0000
20160509;1150;X   ;016366027    ;0003;0000
20160511;1027;E   ;016366027    ;0001;0000
20160517;0832;H   ;016366027    ;0002;0000
20160530;1019;H   ;016366027    ;0001;0000
20160601;0856;E   ;016366027    ;0002;0000
20160614;1033;X   ;016366027    ;0004;0000
20160616;0950;T   ;016366027    ;0002;0000
20160627;0915;H   ;016366027    ;0001;0000
20160630;0913;E   ;016366027    ;0002;0000
20160706;1032;E   ;016366027    ;0001;0000
20160708;0839;T   ;016366027    ;0002;0000
20160711;1157;T   ;016366027    ;0002;0000
20160718;1758;X   ;016366027    ;0003;0000
20160720;1703;H   ;016366027    ;0002;0000
20160727;0915;H   ;016366027    ;0002;0000
20160728;1138;X   ;016366027    ;0001;0000
20160729;0903;H   ;016366027    ;0002;0000
20160803;0848;E   ;016366027    ;0002;0000
20160803;0912;X   ;016366027    ;0002;0000
20160803;1820;L   ;016366027    ;0001;0000
20160804;1101;T   ;016366027    ;0002;0000
20160810;1528;L   ;016366027    ;0001;0000
20160811;1051;E   ;016366027    ;0001;0000
20160812;1035;E   ;016366027    ;0002;0000
20160817;1129;T   ;016366027    ;0002;0000
20160818;1720;X   ;016366027    ;0006;0000
20160819;0931;H   ;016366027    ;0002;0000
20160822;0831;T   ;016366027    ;0001;0000
20160822;0831;T   ;016366027    ;0001;0000
20160822;1149;X   ;016366027    ;0003;0000
20160824;1002;H   ;016366027    ;0002;0000
20160826;1055;E   ;016366027    ;0002;0000
20160827;1724;L   ;016366027    ;0001;0000
20160830;1112;X   ;016366027    ;0001;0000
20160830;1127;H   ;016366027    ;0002;0000
20160830;1127;H   ;016366027    ;0002;0000
20160830;1503;X   ;016366027    ;0003;0000
20160902;0928;H   ;016366027    ;0002;0000
20160905;0921;E   ;016366027    ;0001;0000
20160905;0921;E   ;016366027    ;0001;0000
20160913;1806;X   ;016366027    ;0003;0000
20160915;0947;X   ;016366027    ;0001;0000
20160915;0947;X   ;016366027    ;0001;0000
20160915;0947;X   ;016366027    ;0001;0000
20160915;0947;X   ;016366027    ;0001;0000
20160915;0947;X   ;016366027    ;0001;0000
20160915;0947;X   ;016366027    ;0001;0000
20160928;1025;E   ;016366027    ;0001;0000
20160928;1825;X   ;016366027    ;0003;0000
20160930;0944;X   ;016366027    ;0001;0000
20160930;1007;H   ;016366027    ;0002;0000
20160930;1007;H   ;016366027    ;0002;0000
20161003;1513;H   ;016366027    ;0001;0000
20161003;1513;H   ;016366027    ;0001;0000
20161005;1053;T   ;016366027    ;0001;0000
20161005;1053;T   ;016366027    ;0001;0000
20161011;1611;X   ;016366027    ;0003;0000
20161014;1143;X   ;016366027    ;0001;0000
20161014;1143;X   ;016366027    ;0001;0000
20161014;1143;X   ;016366027    ;0001;0000
20161019;1158;H   ;016366027    ;0002;0000
20161019;1158;H   ;016366027    ;0002;0000
20161020;1023;E   ;016366027    ;0001;0000
20161020;1023;E   ;016366027    ;0001;0000
20161020;1056;T   ;016366027    ;0001;0000
20161020;1056;T   ;016366027    ;0001;0000
20161025;0859;T   ;016366027    ;0001;0000
20161025;0859;T   ;016366027    ;0001;0000
20161028;0924;X   ;016366027    ;0001;0000
20161114;1751;X   ;016366027    ;0001;0000
20161114;1751;X   ;016366027    ;0001;0000
20161114;1751;X   ;016366027    ;0001;0000
20161125;0849;X   ;016366027    ;0001;0000
20161125;0849;X   ;016366027    ;0001;0000
20161125;0849;X   ;016366027    ;0001;0000
20161125;1124;H   ;016366027    ;0001;0000
20161125;1124;H   ;016366027    ;0001;0000
20161128;1526;X   ;016366027    ;0001;0000
20161130;1025;E   ;016366027    ;0001;0000
20161130;1025;E   ;016366027    ;0001;0000
20161202;0856;X   ;016366027    ;0001;0000
20161202;0856;X   ;016366027    ;0001;0000
20161202;0856;X   ;016366027    ;0001;0000
20161202;1036;E   ;016366027    ;0001;0000
20161214;0849;T   ;016366027    ;0001;0000
20161214;0849;T   ;016366027    ;0001;0000
20161216;0821;H   ;016366027    ;0001;0000
20161216;0821;H   ;016366027    ;0001;0000
20161221;1104;T   ;016366027    ;0001;0000
20161221;1104;T   ;016366027    ;0001;0000
20161223;1202;T   ;016366027    ;0001;0000
20161223;1202;T   ;016366027    ;0001;0000
20161228;0909;X   ;016366027    ;0001;0000
20161228;0909;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170109;1046;E   ;016366027    ;0001;0000
20170109;1046;E   ;016366027    ;0001;0000
20170111;0941;H   ;016366027    ;0001;0000
20170111;0941;H   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1736;X   ;016366027    ;0003;0000
20170119;0843;T   ;016366027    ;0001;0000
20170119;0843;T   ;016366027    ;0001;0000
20170123;1524;H   ;016366027    ;0001;0000
20170123;1524;H   ;016366027    ;0001;0000
20170126;0950;E   ;016366027    ;0001;0000
20170126;0950;E   ;016366027    ;0001;0000
20170206;1004;H   ;016366027    ;0001;0000
20170206;1004;H   ;016366027    ;0001;0000
20170207;1020;E   ;016366027    ;0001;0000
20170207;1020;E   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170214;1641;H   ;016366027    ;0001;0000
20170214;1641;H   ;016366027    ;0001;0000
20170217;1035;T   ;016366027    ;0001;0000
20170217;1035;T   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170222;0951;X   ;016366027    ;0001;0000
20170222;0951;X   ;016366027    ;0001;0000
20170303;0913;T   ;016366027    ;0001;0000
20170303;0913;T   ;016366027    ;0001;0000
20170310;1116;X   ;016366027    ;0004;0000
20170315;1548;X   ;016366027    ;0001;0000
20170315;1548;X   ;016366027    ;0001;0000
20170315;1548;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170321;1037;E   ;016366027    ;0001;0000
20170321;1037;E   ;016366027    ;0001;0000
20170321;1120;E   ;016366027    ;0001;0000
20170321;1120;E   ;016366027    ;0001;0000
20170323;0951;X   ;016366027    ;0002;0000
20170327;1621;H   ;016366027    ;0001;0000
20170327;1621;H   ;016366027    ;0001;0000
20170329;1058;E   ;016366027    ;0001;0000
20170329;1058;E   ;016366027    ;0001;0000
20170329;1712;X   ;016366027    ;0003;0000
20170410;1053;T   ;016366027    ;0001;0000
20170410;1053;T   ;016366027    ;0001;0000
20170413;0914;X   ;016366027    ;0001;0000
20170413;0914;X   ;016366027    ;0001;0000
20170420;1025;E   ;016366027    ;0001;0000
20170420;1025;E   ;016366027    ;0001;0000
20170426;0955;H   ;016366027    ;0001;0000
20170426;0955;H   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170504;1053;H   ;016366027    ;0001;0000
20170504;1053;H   ;016366027    ;0001;0000
20170510;1851;X   ;016366027    ;0001;0000
